pvs_parameter,naps_parameter,level,pearson
desired_metric,Valence,A,nan
desired_metric,Valence,B,2.9325258027067017e-16
desired_metric,Valence,C,nan
desired_metric,Valence,D,nan
desired_metric,Valence,E,-2.9325258027067017e-16
desired_metric,Av/Ap,A,nan
desired_metric,Av/Ap,B,2.740830674550451e-16
desired_metric,Av/Ap,C,nan
desired_metric,Av/Ap,D,nan
desired_metric,Av/Ap,E,-2.740830674550451e-16
desired_metric,Arousal,A,nan
desired_metric,Arousal,B,-2.614633091722319e-16
desired_metric,Arousal,C,nan
desired_metric,Arousal,D,nan
desired_metric,Arousal,E,2.614633091722319e-16
desired_metric,Luminance,A,nan
desired_metric,Luminance,B,3.608429501293528e-16
desired_metric,Luminance,C,nan
desired_metric,Luminance,D,nan
desired_metric,Luminance,E,-3.608429501293528e-16
desired_metric,Contrast,A,nan
desired_metric,Contrast,B,1.0706332402759925e-16
desired_metric,Contrast,C,nan
desired_metric,Contrast,D,nan
desired_metric,Contrast,E,-1.0706332402759925e-16
desired_metric,JPEG_size80,A,nan
desired_metric,JPEG_size80,B,-6.898100478522766e-17
desired_metric,JPEG_size80,C,nan
desired_metric,JPEG_size80,D,nan
desired_metric,JPEG_size80,E,6.898100478522766e-17
desired_metric,LABL,A,nan
desired_metric,LABL,B,2.8181440192856566e-16
desired_metric,LABL,C,nan
desired_metric,LABL,D,nan
desired_metric,LABL,E,-2.8181440192856566e-16
desired_metric,LABA,A,nan
desired_metric,LABA,B,4.823461465203471e-17
desired_metric,LABA,C,nan
desired_metric,LABA,D,nan
desired_metric,LABA,E,-4.823461465203471e-17
desired_metric,LABB,A,nan
desired_metric,LABB,B,8.528443977064278e-17
desired_metric,LABB,C,nan
desired_metric,LABB,D,nan
desired_metric,LABB,E,-8.528443977064278e-17
desired_metric,Entropy,A,nan
desired_metric,Entropy,B,-2.3979399411873813e-15
desired_metric,Entropy,C,nan
desired_metric,Entropy,D,nan
desired_metric,Entropy,E,2.3979399411873813e-15
achieved_metric,Valence,A,nan
achieved_metric,Valence,B,-0.12354698570035895
achieved_metric,Valence,C,0.03437375999138375
achieved_metric,Valence,D,0.07513777411637915
achieved_metric,Valence,E,-0.009269240424180165
achieved_metric,Av/Ap,A,nan
achieved_metric,Av/Ap,B,-0.119174827337864
achieved_metric,Av/Ap,C,0.02570080075559259
achieved_metric,Av/Ap,D,0.07255924513414723
achieved_metric,Av/Ap,E,0.013344528898145741
achieved_metric,Arousal,A,nan
achieved_metric,Arousal,B,0.14017781920214947
achieved_metric,Arousal,C,-0.015614592000880766
achieved_metric,Arousal,D,-0.1260877080759995
achieved_metric,Arousal,E,-0.05266219430491866
achieved_metric,Luminance,A,nan
achieved_metric,Luminance,B,-0.09138694994727328
achieved_metric,Luminance,C,-0.08160545755645744
achieved_metric,Luminance,D,0.09086164967728362
achieved_metric,Luminance,E,-0.042560495312583525
achieved_metric,Contrast,A,nan
achieved_metric,Contrast,B,-0.014456399273349893
achieved_metric,Contrast,C,-0.13162186825317726
achieved_metric,Contrast,D,0.08606663796847938
achieved_metric,Contrast,E,0.030813478571648192
achieved_metric,JPEG_size80,A,nan
achieved_metric,JPEG_size80,B,-0.0805937952347692
achieved_metric,JPEG_size80,C,-0.013618412264674902
achieved_metric,JPEG_size80,D,0.0828521171043877
achieved_metric,JPEG_size80,E,0.00618453129229929
achieved_metric,LABL,A,nan
achieved_metric,LABL,B,-0.09142447135410736
achieved_metric,LABL,C,-0.07567143101752825
achieved_metric,LABL,D,0.0892415708892542
achieved_metric,LABL,E,-0.042138496093653624
achieved_metric,LABA,A,nan
achieved_metric,LABA,B,0.08843316233327746
achieved_metric,LABA,C,-0.10971421225781834
achieved_metric,LABA,D,0.002644270686458431
achieved_metric,LABA,E,0.01604417921078874
achieved_metric,LABB,A,nan
achieved_metric,LABB,B,-0.0381148946888417
achieved_metric,LABB,C,-0.07998131667774243
achieved_metric,LABB,D,0.078230476878806
achieved_metric,LABB,E,-0.002155155195599456
achieved_metric,Entropy,A,nan
achieved_metric,Entropy,B,-0.04696568124774948
achieved_metric,Entropy,C,-0.057141434118989476
achieved_metric,Entropy,D,0.018901406302833254
achieved_metric,Entropy,E,0.04599615443251464
distance_index,Valence,B,-0.08132332174348302
